subject	chain	generation	index	age	sex	group	rabbit	machine	scores	pre	post	chosen	chosenInput	useMachine	output	score	gameTime	IP_Hub_Country_Code	IP_Hub_ISP	IP_Hub_nonUSIP	IP_Hub_VPS	IP_Hub_recommend_block
	0	0	0	45	Female	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1	-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1	more	more	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1	1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0	0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0	3,1,4,4,2,5,8,6,11,9,7,7,10,13,11,14,17,22,25,30	10,4,13,7,15,5,6,15,4,7,4,6,6,31,5,18,4,22,4,4	US	M247	0	1	1
	0	0	1	53	Male	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0	-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1	equal	equal	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0,0,5,10,15,20,25,30,35,40,45,50,55,60,60,60,60,60,60,60	16,10,3,4,11,3,2,2,2,5,3,3,2,3,4,2,2,2,2,6	US	ATT-INTERNET4	0	0	0
	0	0	2	33	Female	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1	-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1	more	more	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1	1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0	0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0	3,6,9,12,17,15,18,23,23,26,29,29,29,27,27,27,32,32,35,40	7,3,5,3,4,4,3,3,3,4,3,3,3,3,3,3,4,2,3,3	US	CABLE-NET-1	0	0	0
	0	0	3	34	Male	1	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0	-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1	more	idk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1	1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1	3,6,6,11,11,16,21,26,26,26,26,26,26,31,36,36,41,41,46,46	15,6,4,3,8,4,3,3,3,4,3,3,3,3,4,4,3,3,3,4	US	ATT-INTERNET4	0	0	0
	0	0	4	29	Female	1	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1	-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1	more	equal	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1	0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1	5,10,8,11,9,12,15,18,21,24,27,25,28,31,34,32,35,38,36,34	14,6,7,8,5,12,4,4,3,8,5,3,3,5,4,4,3,5,4,4	US	MNS	0	0	0
	0	0	5	41	Female	1	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0	-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1	equal	less	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1;-1,-1,-1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0	1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0	-2,-4,-6,-8,-10,-12,-9,-6,-8,-10,-12,-14,-16,-18,-20,-22,-24,-26,-28,-23	18,14,4,4,8,3,3,3,3,7,4,3,4,4,4,4,3,3,3,5	US	AUREON-5056	0	0	0
0.0	0	1	0	29	Female	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1	3,0,3,3,5,-2;1,0,6,6,10,-4;4,5,9,6,8,-6;4,10,12,11,11,-8;2,15,17,11,9,-10;5,20,15,16,12,-12;8,25,18,21,15,-9;6,30,23,26,18,-6;11,35,23,26,21,-8;9,40,26,26,24,-10;7,45,29,26,27,-12;7,50,29,26,25,-14;10,55,29,26,28,-16;13,60,27,31,31,-18;11,60,27,36,34,-20;14,60,27,36,32,-22;17,60,32,41,35,-24;22,60,32,41,38,-26;25,60,35,46,36,-28;30,60,40,46,34,-23	more	idk	1,2,4;4,0,2;5,2,0;0,1,2;2,4,5;2,0,4;5,0,4;3,1,0;2,4,5;0,3,5;5,0,1;5,1,0;4,3,5;1,4,2;0,4,2;5,2,4;2,3,1;5,0,2;0,4,1;4,1,5	1,0,0;0,1,0;0,1,1;0,1,1;1,0,0;0,1,1;1,1,1;1,1,0;0,1,0;0,0,0;0,0,1;0,1,0;1,0,0;1,1,0;1,0,1;1,1,1;0,0,1;1,0,1;0,1,1;1,1,0	1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0	0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0	3,1,6,4,4,9,9,9,12,12,15,15,15,13,16,16,21,21,26,31	8,7,4,5,4,8,7,40,5,4,4,4,8,13,6,6,6,5,5,6	US	COMCAST-7922	0	0	0
1.0	0	1	1	22	Male	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0	3,0,3,3,5,-2;1,0,6,6,10,-4;4,5,9,6,8,-6;4,10,12,11,11,-8;2,15,17,11,9,-10;5,20,15,16,12,-12;8,25,18,21,15,-9;6,30,23,26,18,-6;11,35,23,26,21,-8;9,40,26,26,24,-10;7,45,29,26,27,-12;7,50,29,26,25,-14;10,55,29,26,28,-16;13,60,27,31,31,-18;11,60,27,36,34,-20;14,60,27,36,32,-22;17,60,32,41,35,-24;22,60,32,41,38,-26;25,60,35,46,36,-28;30,60,40,46,34,-23	equal	equal	4,0,2;5,3,0;2,1,4;2,0,1;0,2,5;0,1,5;1,2,5;5,2,3;2,3,5;2,1,3;0,1,4;0,2,3;2,0,3;3,2,5;2,3,5;1,0,4;5,2,1;1,2,4;1,3,0;2,5,0	0,0,0;1,0,1;1,1,0;1,0,1;0,1,0;1,1,0;1,1,1;1,1,1;0,0,0;1,1,0;0,1,1;0,0,0;0,1,0;1,0,0;1,0,1;1,0,1;1,0,1;1,1,0;1,0,0;0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0	5,10,15,20,25,30,35,40,40,45,50,50,55,60,60,60,65,65,70,75	17,10,9,10,11,17,10,11,8,8,7,8,460,11,11,9,13,7,8,9	US	TIER-NET	0	0	0
2.0	0	1	2	26	Male	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	3,0,3,3,5,-2;1,0,6,6,10,-4;4,5,9,6,8,-6;4,10,12,11,11,-8;2,15,17,11,9,-10;5,20,15,16,12,-12;8,25,18,21,15,-9;6,30,23,26,18,-6;11,35,23,26,21,-8;9,40,26,26,24,-10;7,45,29,26,27,-12;7,50,29,26,25,-14;10,55,29,26,28,-16;13,60,27,31,31,-18;11,60,27,36,34,-20;14,60,27,36,32,-22;17,60,32,41,35,-24;22,60,32,41,38,-26;25,60,35,46,36,-28;30,60,40,46,34,-23	idk	idk	5,0,3;1,4,3;4,5,3;2,1,0;5,4,3;4,5,3;1,0,5;1,4,2;4,5,3;0,5,4;0,2,1;1,5,0;5,2,0;2,5,3;0,2,4;1,0,4;0,1,2;1,2,0;4,3,5;2,1,4	1,0,0;1,0,0;0,0,0;1,1,0;0,0,0;1,0,1;1,1,1;1,1,1;1,0,0;0,0,1;0,1,1;1,0,0;0,0,1;0,0,1;1,1,0;1,0,1;0,1,0;1,1,0;1,0,1;0,1,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1	0,5,5,10,10,10,15,20,20,25,30,35,40,45,45,45,45,45,50,50	8,4,3,4,4,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3	US	CABLE-NET-1	0	0	0
3.0	0	1	3	40	Male	1	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0	3,0,3,3,5,-2;1,0,6,6,10,-4;4,5,9,6,8,-6;4,10,12,11,11,-8;2,15,17,11,9,-10;5,20,15,16,12,-12;8,25,18,21,15,-9;6,30,23,26,18,-6;11,35,23,26,21,-8;9,40,26,26,24,-10;7,45,29,26,27,-12;7,50,29,26,25,-14;10,55,29,26,28,-16;13,60,27,31,31,-18;11,60,27,36,34,-20;14,60,27,36,32,-22;17,60,32,41,35,-24;22,60,32,41,38,-26;25,60,35,46,36,-28;30,60,40,46,34,-23	equal	more	4,5,3;5,4,3;5,4,3;3,4,5;5,3,4;3,4,5;3,4,5;3,5,4;5,3,4;3,5,4;3,4,5;5,4,3;5,3,4;3,5,4;4,3,5;3,5,4;3,5,4;3,4,5;3,5,4;4,5,3	0,1,0;1,0,0;0,0,0;1,1,0;0,0,0;1,1,0;1,1,1;1,1,1;0,0,1;0,0,1;0,1,0;0,0,0;0,0,1;1,0,1;0,0,1;1,1,1;0,1,0;1,0,1;0,1,1;1,0,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1	0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0	3,1,-1,2,5,8,6,4,7,10,13,11,14,17,15,18,16,19,24,27	17,8,6,7,22,6,11,6,27,14,5,17,7,5,20,6,8,5,12,7	US	ASN-CXA-ALL-CCI-22773-RDC	0	0	0
