subject	chain	generation	age	sex	group	pre	post	totalGameTime	finalScore	il	agreeIG	agreeOG	agreeTotal	agreeBias	agreeMaxIG	agreeMaxOG	obsIG	obsOG	obsTotal	obsBias	hammingIG	hammingOG	hammingDelta	IP_Hub_Country_Code	IP_Hub_ISP	IP_Hub_nonUSIP	IP_Hub_VPS	IP_Hub_recommend_block
0	0	1	29	Female	0	more	idk	155	31	13	15	16	31	OG	22	24	33	27	60	IG	29	30	-1	US	COMCAST-7922	0	0	0
1	0	1	22	Male	0	equal	equal	654	75	12	27	14	41	IG	29	21	36	24	60	IG	19	26	-7	US	TIER-NET	0	0	0
2	0	1	26	Male	0	idk	idk	70	50	12	17	19	36	OG	22	24	30	30	60	Unbiased	28	25	3	US	CABLE-NET-1	0	0	0
3	0	1	40	Male	1	equal	more	216	27	9	24	0	24	IG	46	0	60	0	60	IG	36	27	9	US	ASN-CXA-ALL-CCI-22773-RDC	0	0	0
4	0	1	33	Female	1	equal	less	129	63	13	1	36	37	OG	4	40	5	55	60	OG	34	21	13	US	SHENTEL	0	0	0
5	0	1	44	Female	1	equal	more	135	5	15	36	5	41	IG	38	9	49	11	60	IG	20	33	-13	US	CHARTER-20115	0	0	0
6	0	2	36	Male	0	idk	idk	215	54	11	23	18	41	IG	24	21	31	29	60	IG	20	25	-5	US	TWC-11426-CAROLINAS	0	0	0
7	0	2	32	Female	0	equal	less	177	36	11	14	18	32	OG	21	26	26	34	60	OG	24	27	-3	US	SCOTTEPB	0	0	0
8	0	2	23	Male	0	idk	equal	178	40	10	25	14	39	IG	30	20	36	24	60	IG	24	27	-3	US	UUNET	0	0	0
9	0	2	48	Female	1	equal	idk	282	70	11	22	21	43	IG	26	22	35	25	60	IG	23	18	5	US	COMCAST-7922	0	0	0
10	0	2	25	Male	1	more	idk	125	33	12	26	7	33	IG	33	10	47	13	60	IG	30	31	-1	US	UUNET	0	0	0
11	0	2	32	Male	1	equal	equal	111	55	8	16	16	32	Unbiased	24	25	32	28	60	IG	30	27	3	US	ATT-INTERNET4	0	0	0
12	0	3	30	Female	0	equal	equal	182	7	9	18	19	37	OG	25	25	31	29	60	IG	31	27	4	US	CMCS	0	0	0
13	0	3	35	Male	0	equal	equal	199	50	7	24	21	45	IG	29	23	34	26	60	IG	26	20	6	CO	Telefonica	1	0	1
14	0	3	33	Male	0	equal	idk	194	32	11	27	16	43	IG	31	22	34	26	60	IG	20	26	-6	US	UUNET	0	0	0
15	0	3	26	Female	1	equal	equal	368	63	8	16	19	35	OG	20	31	22	38	60	OG	27	31	-4	US	SPCS	0	0	0
16	0	3	35	Female	1	equal	equal	199	36	8	17	11	28	IG	32	18	39	21	60	IG	36	32	4	US	SUDDENLINK-COMMUNICATIONS	0	0	0
17	0	3	38	Female	1	equal	less	495	38	12	14	14	28	Unbiased	25	22	32	28	60	IG	36	32	4	US	COMCAST-7922	0	0	0
18	0	4	30	Female	0	equal	equal	216	41	9	17	11	28	IG	24	26	30	30	60	Unbiased	22	24	-2	US	LIGHTOWER	0	0	0
19	0	4	32	Male	0	equal	less	179	35	12	16	7	23	IG	36	13	45	15	60	IG	38	36	2	US	ATT-INTERNET4	0	0	0
20	0	4	22	Female	0	equal	equal	171	46	7	17	26	43	OG	20	29	26	34	60	OG	29	15	14	GB	JANET	1	0	1
21	0	4	53	Female	1	idk	equal	212	35	8	26	22	48	IG	28	24	31	29	60	IG	16	26	-10	US	INS-AS	0	0	0
22	0	4	39	Female	1	idk	equal	228	51	11	17	8	25	IG	37	15	43	17	60	IG	32	26	6	US	ATT-INTERNET4	0	0	0
23	0	4	55	Female	1	equal	more	818	73	12	16	14	30	IG	28	24	31	29	60	IG	26	28	-2	US	HURRICANE	0	0	0
24	0	5	33	Male	0	equal	equal	161	48	11	19	25	44	OG	22	28	26	34	60	OG	22	25	-3	US	ORST-AS	0	0	0
25	0	5	69	Female	0	equal	equal	280	60	13	27	19	46	IG	28	21	35	25	60	IG	24	25	-1	US	TWC-11427-TEXAS	0	0	0
26	0	5	47	Male	0	equal	equal	169	51	14	24	17	41	IG	27	20	37	23	60	IG	27	22	5	US	COMCAST-7922	0	0	0
27	0	5	60	Male	1	equal	equal	188	25	13	31	7	38	IG	35	9	49	11	60	IG	22	31	-9	US	CMCS	0	0	0
28	0	5	28	Male	1	equal	more	156	55	11	25	20	45	IG	27	23	32	28	60	IG	24	23	1	US	ATT-INTERNET4	0	0	0
29	0	5	31	Male	1	more	equal	214	65	12	23	20	43	IG	26	24	28	32	60	OG	22	27	-5	IN	VODAFONE-IN	1	0	1
30	0	6	34	Female	0	more	equal	156	22	10	12	18	30	OG	20	24	27	33	60	OG	23	29	-6	US	TWC-12271-NYC	0	0	0
31	0	6	50	Female	0	equal	equal	188	61	11	24	11	35	IG	32	19	40	20	60	IG	26	28	-2	US	CHARTER-20115	0	0	0
32	0	6	28	Male	0	equal	equal	128	9	11	21	10	31	IG	29	22	36	24	60	IG	26	24	2	US	ASN-QUADRANET-GLOBAL	0	1	1
33	0	6	32	Female	1	equal	equal	119	37	8	26	12	38	IG	33	16	42	18	60	IG	24	24	0	US	WOW-INTERNET	0	0	0
34	0	6	50	Male	1	equal	equal	224	75	8	21	29	50	OG	23	30	27	33	60	OG	18	18	0	US	CABLEONE	0	0	0
35	0	6	44	Female	1	equal	less	187	65	12	19	29	48	OG	19	31	22	38	60	OG	20	16	4	US	COMCAST-7922	0	0	0
36	0	7	32	Male	0	more	equal	245	21	9	41	0	41	IG	45	0	60	0	60	IG	19	24	-5	US	UUNET	0	0	0
37	0	7	27	Male	0	equal	less	181	-10	8	12	10	22	IG	22	28	28	32	60	OG	34	43	-9	US	AS-COLOCROSSING	0	1	1
38	0	7	33	Male	0	equal	less	131	5	11	6	31	37	OG	11	35	15	45	60	OG	25	28	-3	US	WOW-INTERNET	0	0	0
39	0	7	41	Female	1	equal	equal	246	60	10	49	0	49	IG	49	0	60	0	60	IG	11	22	-11	US	COMCAST-7922	0	0	0
40	0	7	61	Female	1	equal	equal	157	55	8	23	23	46	Unbiased	23	24	29	31	60	OG	16	19	-3	US	CHARTER-20115	0	0	0
41	0	7	28	Female	1	equal	equal	218	55	12	12	8	20	IG	28	21	38	22	60	IG	40	37	3	US	HORIZONCHILLICOTHETELEPHONE	0	0	0
42	0	8	27	Male	0	more	equal	163	-5	8	28	9	37	IG	35	13	44	16	60	IG	23	31	-8	US	TWC-12271-NYC	0	0	0
43	0	8	43	Female	0	equal	more	154	30	10	31	11	42	IG	32	12	44	16	60	IG	18	28	-10	US	FRONTIER-FRTR	0	0	0
44	0	8	36	Female	0	equal	more	240	21	11	33	7	40	IG	35	13	46	14	60	IG	21	37	-16	US	TWC-11351-NORTHEAST	0	0	0
45	0	8	24	Female	1	more	more	171	10	14	29	3	32	IG	41	4	54	6	60	IG	28	34	-6	US	NETROUTING-AS	0	1	1
46	0	8	39	Female	1	equal	equal	221	40	11	34	0	34	IG	45	0	60	0	60	IG	26	24	2	US	LSNET	0	0	0
47	0	8	29	Male	1	more	more	234	51	12	35	9	44	IG	35	10	46	14	60	IG	15	29	-14	US	TWC-11426-CAROLINAS	0	0	0
48	0	9	33	Female	0	equal	equal	142	54	10	18	27	45	OG	23	27	26	34	60	OG	22	25	-3	US	CABLE-NET-1	0	0	0
49	0	9	34	Female	0	idk	more	183	51	10	14	21	35	OG	24	29	27	33	60	OG	31	24	7	IN	CTRLS-AS-IN	1	0	1
50	0	9	28	Female	0	equal	equal	194	30	11	30	16	46	IG	32	17	39	21	60	IG	18	25	-7	US	CABLELYNX	0	0	0
51	0	9	49	Male	1	less	more	217	50	9	28	12	40	IG	32	20	40	20	60	IG	21	30	-9	US	T-MOBILE-AS21928	0	0	0
52	0	9	42	Female	1	equal	less	181	23	9	17	16	33	IG	24	27	29	31	60	OG	24	27	-3	US	INS-AS	0	0	0
53	0	9	51	Female	1	equal	equal	295	33	8	12	27	39	OG	19	34	20	40	60	OG	20	21	-1	US	COMCAST-7922	0	0	0
54	1	1	29	Female	0	equal	less	224	49	8	25	13	38	IG	29	21	35	25	60	IG	23	37	-14	US	BHN-33363	0	0	0
55	1	1	41	Female	0	equal	more	209	68	7	20	18	38	IG	24	22	33	27	60	IG	30	28	2	US	TWC-11426-CAROLINAS	0	0	0
56	1	1	23	Male	0	equal	equal	156	60	5	26	14	40	IG	29	15	37	23	60	IG	24	34	-10	US	ATT-INTERNET4	0	0	0
57	1	1	27	Male	1	equal	less	144	23	11	15	20	35	OG	23	26	28	32	60	OG	27	27	0	US	COMCAST-7015	0	0	0
58	1	1	24	Female	1	less	less	261	29	9	16	15	31	IG	29	19	34	26	60	IG	29	27	2	CA	TOTAL-SERVER-SOLUTIONS	1	1	1
59	1	1	28	Female	1	less	equal	180	40	7	11	25	36	OG	22	32	24	36	60	OG	36	22	14	US	RCN-AS	0	0	0
60	1	2	33	Female	0	less	equal	114	16	8	13	22	35	OG	16	33	21	39	60	OG	21	26	-5	US	PRMC-ASN	0	0	0
61	1	2	21	Male	0	more	less	148	56	8	27	16	43	IG	28	19	36	24	60	IG	13	18	-5	US	COMCAST-7922	0	0	0
62	1	2	23	Male	0	equal	less	567	30	6	23	18	41	IG	33	23	36	24	60	IG	23	18	5	US	AS40676	0	1	1
63	1	2	57	Male	1	equal	less	191	65	9	24	21	45	IG	29	21	35	25	60	IG	17	18	-1	US	TOTAL-SERVER-SOLUTIONS	0	1	1
64	1	2	37	Female	1	equal	equal	205	46	7	12	24	36	OG	27	28	30	30	60	Unbiased	26	19	7	US	ASN-CXA-ALL-CCI-22773-RDC	0	0	0
65	1	2	36	Male	1	equal	more	247	57	9	0	40	40	OG	0	50	0	60	60	OG	29	20	9	US	ATT-INTERNET4	0	0	0
66	1	3	39	Male	0	equal	equal	204	40	5	22	19	41	IG	29	24	34	26	60	IG	18	20	-2	US	FRONTIER-FRTR	0	0	0
67	1	3	37	Female	0	equal	equal	176	0	8	17	15	32	IG	24	25	29	31	60	OG	30	32	-2	US	TWC-12271-NYC	0	0	0
68	1	3	72	Female	0	equal	more	341	55	12	43	3	46	IG	44	5	53	7	60	IG	11	25	-14	US	CABLEONE	0	0	0
69	1	3	42	Female	1	less	more	179	73	13	33	15	48	IG	33	17	43	17	60	IG	19	15	4	US	COMCAST-7922	0	0	0
70	1	3	61	Female	1	equal	idk	198	-7	5	14	19	33	OG	23	28	28	32	60	OG	31	27	4	US	ATT-INTERNET4	0	0	0
71	1	3	48	Female	1	equal	equal	149	70	6	26	22	48	IG	27	22	35	25	60	IG	20	18	2	US	EIDG-AS1	0	0	0
72	1	4	37	Female	0	equal	more	129	60	9	41	4	45	IG	41	4	56	4	60	IG	17	22	-5	US	HARCOM1	0	0	0
73	1	4	23	Male	0	more	less	98	53	10	11	22	33	OG	18	31	23	37	60	OG	28	23	5	US	ATT-INTERNET4	0	0	0
74	1	4	53	Female	0	equal	more	301	77	4	4	26	30	OG	6	42	7	53	60	OG	26	29	-3	US	TWC-11351-NORTHEAST	0	0	0
75	1	4	36	Male	1	equal	equal	342	60	9	21	16	37	IG	26	21	34	26	60	IG	26	29	-3	US	ALGH-DCS	0	0	0
76	1	4	68	Female	1	equal	equal	215	31	7	24	10	34	IG	29	22	37	23	60	IG	23	36	-13	US	BHN-33363	0	0	0
77	1	4	42	Female	1	equal	equal	274	60	9	33	15	48	IG	33	20	40	20	60	IG	16	21	-5	US	CHARTER-20115	0	0	0
78	1	5	29	Male	0	equal	equal	123	95	11	31	14	45	IG	32	15	40	20	60	IG	15	26	-11	US	TVC-AS1	0	0	0
79	1	5	28	Female	0	equal	less	148	28	9	5	25	30	OG	11	37	15	45	60	OG	30	29	1	US	COMCAST-7922	0	0	0
80	1	5	69	Female	0	equal	more	190	80	10	39	10	49	IG	40	11	48	12	60	IG	14	29	-15	US	CHARTER-20115	0	0	0
81	1	5	34	Female	1	equal	less	192	40	9	28	0	28	IG	47	1	59	1	60	IG	31	34	-3	US	FRONTIER-FRTR	0	0	0
82	1	5	43	Female	1	more	more	139	43	10	28	6	34	IG	40	7	50	10	60	IG	24	33	-9	US	UUNET	0	0	0
83	1	5	31	Male	1	equal	equal	179	36	9	21	21	42	Unbiased	26	25	30	30	60	Unbiased	19	26	-7	US	COMCAST-7922	0	0	0
84	1	6	27	Female	0	less	less	289	12	10	11	13	24	OG	29	25	33	27	60	IG	35	31	4	US	ASN-QUADRANET-GLOBAL	0	1	1
85	1	6	31	Female	0	equal	equal	135	22	10	28	7	35	IG	39	11	46	14	60	IG	27	33	-6	US	COMCAST-7922	0	0	0
86	1	6	28	Male	0	equal	equal	151	43	8	19	13	32	IG	25	27	27	33	60	OG	14	30	-16	US	KVCNET-2009	0	1	1
87	1	6	29	Male	1	equal	equal	165	43	8	19	20	39	OG	26	25	32	28	60	IG	32	18	14	US	COMCAST-7922	0	0	0
88	1	6	39	Female	1	equal	equal	216	60	10	30	12	42	IG	30	19	41	19	60	IG	19	25	-6	US	TWC-11427-TEXAS	0	0	0
89	1	6	35	Female	1	more	less	120	60	12	35	0	35	IG	46	0	60	0	60	IG	25	29	-4	US	COMCAST-7922	0	0	0
90	1	7	20	Female	0	equal	equal	123	59	8	21	22	43	OG	22	22	32	28	60	IG	20	20	0	US	CLEARWAVE-COMMUNICATIONS	0	0	0
91	1	7	57	Female	0	equal	idk	168	75	11	29	19	48	IG	29	20	40	20	60	IG	22	18	4	US	FRONTIER-FRTR	0	0	0
92	1	7	31	Female	0	idk	more	256	56	9	38	1	39	IG	41	2	57	3	60	IG	21	33	-12	US	TWC-11426-CAROLINAS	0	0	0
93	1	7	50	Female	1	equal	idk	151	75	9	23	14	37	IG	25	20	31	29	60	IG	20	24	-4	US	KUMC	0	0	0
94	1	7	26	Male	1	equal	more	183	71	9	30	13	43	IG	34	14	45	15	60	IG	20	26	-6	US	TWC-11427-TEXAS	0	0	0
95	1	7	32	Female	1	equal	equal	190	71	4	15	21	36	OG	24	26	26	34	60	OG	20	24	-4	US	TWC-10796-MIDWEST	0	0	0
96	1	8	23	Female	0	more	idk	159	60	7	1	31	32	OG	3	51	3	57	60	OG	30	29	1	US	COMCAST-7922	0	0	0
97	1	8	29	Female	0	equal	equal	138	45	4	31	9	40	IG	37	15	44	16	60	IG	25	28	-3	US	Private or unnanounced IP	0	0	0
98	1	8	67	Female	0	equal	equal	329	25	9	24	15	39	IG	28	23	34	26	60	IG	21	26	-5	US	COMCAST-7922	0	0	0
99	1	8	31	Male	1	equal	equal	130	18	11	21	11	32	IG	35	22	38	22	60	IG	23	32	-9	US	TWC-12271-NYC	0	0	0
100	1	8	54	Female	1	equal	idk	140	75	9	54	0	54	IG	54	0	60	0	60	IG	6	17	-11	US	COMCAST-7922	0	0	0
101	1	8	27	Female	1	less	less	187	16	6	15	17	32	OG	21	32	24	36	60	OG	23	30	-7	US	ASN-QUADRANET-GLOBAL	0	1	1
102	1	9	50	Male	0	equal	equal	132	39	12	29	0	29	IG	47	1	59	1	60	IG	31	42	-11	US	SCTA-ASN	0	0	0
103	1	9	60	Female	0	equal	equal	249	12	7	23	7	30	IG	28	23	37	23	60	IG	22	35	-13	US	MW-KANSAS	0	0	0
104	1	9	48	Male	0	idk	idk	254	50	8	17	19	36	OG	26	29	29	31	60	OG	28	25	3	US	ATT-INTERNET4	0	0	0
105	1	9	23	Female	1	equal	equal	102	70	5	32	11	43	IG	37	13	46	14	60	IG	17	24	-7	US	ATT-INTERNET4	0	0	0
106	1	9	49	Female	1	equal	equal	201	61	9	28	8	36	IG	33	20	38	22	60	IG	14	27	-13	US	ATT-INTERNET4	0	0	0
107	1	9	35	Female	1	equal	equal	131	55	7	24	20	44	IG	29	23	33	27	60	IG	20	21	-1	US	TWIN-LAKES	0	0	0
108	2	1	23	Female	0	idk	idk	211	22	12	25	12	37	IG	29	14	42	18	60	IG	27	29	-2	US	TWC-11351-NORTHEAST	0	0	0
109	2	1	35	Female	0	more	less	203	60	12	15	14	29	IG	22	26	31	29	60	IG	29	31	-2	US	GM-ATL	0	0	0
110	2	1	67	Female	0	idk	equal	224	60	11	21	14	35	IG	25	17	36	24	60	IG	25	35	-10	US	ATT-INTERNET4	0	0	0
111	2	1	35	Female	1	equal	more	163	45	10	44	0	44	IG	44	1	59	1	60	IG	16	32	-16	US	CHARTER-20115	0	0	0
112	2	1	36	Female	1	equal	more	90	33	10	28	7	35	IG	33	15	42	18	60	IG	24	32	-8	US	ECHO-GLOBAL	0	0	0
113	2	1	43	Female	1	idk	more	171	60	12	11	17	28	OG	27	23	32	28	60	IG	35	25	10	US	COMCAST-7922	0	0	0
114	2	2	22	Male	0	more	equal	345	10	9	21	16	37	IG	25	21	32	28	60	IG	22	28	-6	US	CHARTER-20115	0	0	0
115	2	2	23	Female	0	equal	less	122	30	10	29	1	30	IG	42	3	57	3	60	IG	30	32	-2	US	TWC-12271-NYC	0	0	0
116	2	2	46	Female	0	more	more	278	22	11	17	17	34	Unbiased	28	24	32	28	60	IG	30	28	2	US	ATT-INTERNET4	0	0	0
117	2	2	49	Male	1	less	less	151	-10	12	26	10	36	IG	30	20	40	20	60	IG	24	30	-6	US	CMCS	0	0	0
118	2	2	48	Male	1	more	equal	253	20	10	23	8	31	IG	30	17	43	17	60	IG	28	24	4	US	CMCS	0	0	0
119	2	2	27	Female	1	more	equal	264	22	11	10	18	28	OG	23	23	28	32	60	OG	34	32	2	US	ASN-QUADRANET-GLOBAL	0	1	1
120	2	3	57	Female	0	equal	equal	245	37	6	18	12	30	IG	28	21	38	22	60	IG	35	27	8	US	ATT-INTERNET4	0	0	0
121	2	3	38	Male	0	more	more	131	56	15	21	16	37	IG	27	24	32	28	60	IG	22	32	-10	US	COMCAST-7922	0	0	0
122	2	3	31	Female	0	more	equal	244	50	13	21	20	41	IG	25	25	31	29	60	IG	24	26	-2	US	COMCAST-7922	0	0	0
123	2	3	42	Female	1	equal	more	123	55	11	19	12	31	IG	27	21	33	27	60	IG	21	33	-12	US	CELLCO-PART	0	0	0
124	2	3	42	Male	1	more	less	136	58	13	16	23	39	OG	18	28	24	36	60	OG	28	28	0	US	DIGITALOCEAN-ASN	0	1	1
125	2	3	52	Female	1	equal	equal	293	53	11	27	14	41	IG	31	16	43	17	60	IG	27	27	0	US	CABLE-NET-1	0	0	0
