subject	time	group	competent	capable	warm	friendly
0	pre	IG	4	3	3	3
0	pre	OG	3	2	4	3
0	post	IG	4	4	3	3
0	post	OG	4	2	3	3
1	pre	IG	4	4	4	4
1	pre	OG	3	3	3	3
1	post	IG	5	5	5	5
1	post	OG	3	3	3	3
2	pre	IG	3	4	4	5
2	pre	OG	1	2	2	2
2	post	IG	4	4	4	5
2	post	OG	2	3	2	1
3	pre	IG	5	4	5	4
3	pre	OG	5	4	5	4
3	post	IG	5	4	5	5
3	post	OG	5	4	5	4
4	pre	IG	3	3	3	4
4	pre	OG	3	3	3	2
4	post	IG	4	4	3	3
4	post	OG	2	2	2	2
5	pre	IG	4	3	5	5
5	pre	OG	3	4	4	3
5	post	IG	3	3	4	5
5	post	OG	3	4	3	5
6	pre	IG	5	4	5	4
6	pre	OG	4	5	4	4
6	post	IG	4	5	4	4
6	post	OG	4	5	4	3
7	pre	IG	4	3	4	3
7	pre	OG	3	5	4	2
7	post	IG	4	3	4	3
7	post	OG	4	5	3	3
8	pre	IG	2	3	3	3
8	pre	OG	2	3	3	3
8	post	IG	3	3	3	3
8	post	OG	3	2	3	3
9	pre	IG	2	3	4	4
9	pre	OG	4	4	5	3
9	post	IG	5	4	3	4
9	post	OG	4	4	3	3
10	pre	IG	3	3	4	2
10	pre	OG	2	3	4	4
10	post	IG	3	3	4	4
10	post	OG	3	4	4	4
11	pre	IG	4	5	5	4
11	pre	OG	4	3	3	3
11	post	IG	4	4	5	5
11	post	OG	3	3	4	3
12	pre	IG	4	4	5	5
12	pre	OG	4	4	5	5
12	post	IG	5	5	4	4
12	post	OG	5	5	4	4
13	pre	IG	5	5	5	5
13	pre	OG	2	2	2	2
13	post	IG	5	5	5	5
13	post	OG	2	2	2	2
14	pre	IG	5	5	4	4
14	pre	OG	4	4	5	5
14	post	IG	4	5	4	5
14	post	OG	4	4	5	5
15	pre	IG	5	4	5	4
15	pre	OG	4	3	5	4
15	post	IG	4	5	4	5
15	post	OG	5	3	4	5
16	pre	IG	4	4	5	4
16	pre	OG	5	3	4	4
16	post	IG	3	2	4	4
16	post	OG	3	4	3	3
17	pre	IG	5	5	5	4
17	pre	OG	4	4	4	4
17	post	IG	5	4	4	5
17	post	OG	4	4	4	4
18	pre	IG	4	4	4	4
18	pre	OG	3	3	3	3
18	post	IG	4	4	4	4
18	post	OG	3	3	3	4
19	pre	IG	3	3	2	2
19	pre	OG	3	2	3	2
19	post	IG	3	3	2	2
19	post	OG	2	3	3	4
20	pre	IG	4	3	4	3
20	pre	OG	4	5	4	5
20	post	IG	3	4	4	4
20	post	OG	4	3	5	5
21	pre	IG	4	4	3	4
21	pre	OG	4	4	3	4
21	post	IG	5	4	4	4
21	post	OG	4	3	4	4
22	pre	IG	4	5	4	5
22	pre	OG	5	4	5	5
22	post	IG	5	4	5	5
22	post	OG	5	4	4	5
23	pre	IG	4	4	4	4
23	pre	OG	3	3	2	3
23	post	IG	5	5	4	4
23	post	OG	2	2	3	3
24	pre	IG	2	2	2	2
24	pre	OG	2	2	2	2
24	post	IG	2	2	2	2
24	post	OG	2	2	2	2
25	pre	IG	5	5	5	5
25	pre	OG	3	4	4	3
25	post	IG	5	5	5	5
25	post	OG	3	2	2	5
26	pre	IG	5	5	4	4
26	pre	OG	2	2	3	3
26	post	IG	5	5	4	4
26	post	OG	5	5	4	4
27	pre	IG	3	3	3	3
27	pre	OG	3	3	3	3
27	post	IG	3	3	3	3
27	post	OG	3	3	3	3
28	pre	IG	4	4	4	4
28	pre	OG	3	4	3	3
28	post	IG	4	4	4	4
28	post	OG	4	4	4	4
29	pre	IG	3	3	3	3
29	pre	OG	3	3	3	3
29	post	IG	3	3	3	3
29	post	OG	3	3	3	3
30	pre	IG	4	4	4	3
30	pre	OG	4	3	3	2
30	post	IG	4	4	3	4
30	post	OG	3	4	3	3
31	pre	IG	3	3	4	4
31	pre	OG	3	3	4	4
31	post	IG	3	3	4	4
31	post	OG	3	3	4	4
32	pre	IG	5	5	3	5
32	pre	OG	3	3	3	3
32	post	IG	5	5	4	5
32	post	OG	3	3	3	3
33	pre	IG	5	5	4	4
33	pre	OG	3	3	3	3
33	post	IG	5	5	5	5
33	post	OG	5	5	5	5
34	pre	IG	3	3	3	3
34	pre	OG	3	3	3	3
34	post	IG	3	3	3	3
34	post	OG	3	3	3	3
35	pre	IG	4	4	4	4
35	pre	OG	4	4	4	4
35	post	IG	4	4	4	4
35	post	OG	4	4	4	4
36	pre	IG	5	5	5	5
36	pre	OG	5	5	5	5
36	post	IG	5	5	5	5
36	post	OG	5	5	5	5
37	pre	IG	4	4	4	4
37	pre	OG	3	3	2	3
37	post	IG	5	5	5	5
37	post	OG	4	4	4	4
38	pre	IG	1	3	5	4
38	pre	OG	5	2	3	4
38	post	IG	1	4	5	3
38	post	OG	3	4	4	2
39	pre	IG	4	5	4	5
39	pre	OG	4	3	3	4
39	post	IG	5	3	5	4
39	post	OG	5	5	5	5
40	pre	IG	3	3	4	5
40	pre	OG	2	2	4	3
40	post	IG	4	4	5	3
40	post	OG	5	5	4	2
41	pre	IG	5	5	4	4
41	pre	OG	5	4	3	3
41	post	IG	4	5	5	4
41	post	OG	4	4	5	4
42	pre	IG	3	3	3	3
42	pre	OG	3	3	4	2
42	post	IG	4	3	2	2
42	post	OG	3	3	3	3
43	pre	IG	3	2	2	4
43	pre	OG	3	3	3	2
43	post	IG	3	3	2	2
43	post	OG	3	2	3	3
44	pre	IG	2	3	3	4
44	pre	OG	2	3	2	3
44	post	IG	2	2	3	3
44	post	OG	2	3	3	3
45	pre	IG	4	5	4	4
45	pre	OG	3	3	2	2
45	post	IG	4	4	4	4
45	post	OG	4	4	3	2
46	pre	IG	4	3	4	4
46	pre	OG	3	3	3	3
46	post	IG	5	5	5	5
46	post	OG	5	5	5	5
47	pre	IG	4	3	2	2
47	pre	OG	3	2	2	3
47	post	IG	3	4	4	3
47	post	OG	3	2	4	3
48	pre	IG	4	5	4	5
48	pre	OG	4	5	5	4
48	post	IG	5	4	5	4
48	post	OG	5	4	5	4
49	pre	IG	3	4	5	4
49	pre	OG	3	5	3	2
49	post	IG	4	3	4	5
49	post	OG	2	2	4	3
50	pre	IG	4	3	3	4
50	pre	OG	3	4	3	4
50	post	IG	4	5	4	5
50	post	OG	4	4	5	4
51	pre	IG	3	3	2	4
51	pre	OG	5	3	2	4
51	post	IG	2	4	3	4
51	post	OG	5	3	2	4
52	pre	IG	5	3	3	4
52	pre	OG	5	4	4	5
52	post	IG	5	3	4	4
52	post	OG	4	4	3	3
53	pre	IG	5	4	5	4
53	pre	OG	5	4	5	4
53	post	IG	5	4	5	4
53	post	OG	5	4	5	4
54	pre	IG	3	3	3	2
54	pre	OG	2	2	2	3
54	post	IG	3	3	2	2
54	post	OG	3	3	3	3
55	pre	IG	4	4	2	5
55	pre	OG	3	3	4	4
55	post	IG	4	3	4	3
55	post	OG	3	3	4	4
56	pre	IG	2	3	4	5
56	pre	OG	3	4	4	4
56	post	IG	4	3	5	4
56	post	OG	4	3	4	2
57	pre	IG	4	5	3	4
57	pre	OG	4	4	5	3
57	post	IG	4	4	5	3
57	post	OG	5	3	4	4
58	pre	IG	5	4	4	5
58	pre	OG	5	4	4	5
58	post	IG	5	4	4	5
58	post	OG	5	4	4	5
59	pre	IG	5	4	4	5
59	pre	OG	5	4	4	4
59	post	IG	4	4	4	5
59	post	OG	4	4	3	4
60	pre	IG	4	4	2	3
60	pre	OG	3	3	2	2
60	post	IG	4	3	2	3
60	post	OG	4	2	2	3
61	pre	IG	3	3	3	3
61	pre	OG	4	4	3	4
61	post	IG	5	5	4	4
61	post	OG	4	4	4	4
62	pre	IG	5	5	5	5
62	pre	OG	3	3	3	3
