subject	models	generation	group	preCompDelta	preCompBias	preWarmDelta	preWarmBias	postCompDelta	postCompBias	postWarmDelta	postWarmBias	agree	agreeTotal	agreeBias	agreeMax	obs	obsTotal	obsBias	hamming
0	1	1	IG	1	IG	-0.5	OG	1	IG	0	Unbiased	5	9	IG	10	10	20	Unbiased	27
0	1	1	OG	1	IG	-0.5	OG	1	IG	0	Unbiased	4	9	IG	10	10	20	Unbiased	27
1	1	1	IG	1	IG	1	IG	2	IG	2	IG	20	20	IG	20	20	20	IG	16
1	1	1	OG	1	IG	1	IG	2	IG	2	IG	0	20	IG	0	0	20	IG	26
2	1	1	IG	2	IG	2.5	IG	1.5	IG	3	IG	16	16	IG	20	20	20	IG	29
2	1	1	OG	2	IG	2.5	IG	1.5	IG	3	IG	0	16	IG	0	0	20	IG	29
3	1	1	IG	0	Unbiased	0	Unbiased	0	Unbiased	0.5	IG	8	10	IG	17	17	20	IG	34
3	1	1	OG	0	Unbiased	0	Unbiased	0	Unbiased	0.5	IG	2	10	IG	3	3	20	IG	20
4	1	1	IG	0	Unbiased	1	IG	2	IG	1	IG	11	15	IG	13	13	20	IG	32
4	1	1	OG	0	Unbiased	1	IG	2	IG	1	IG	4	15	IG	7	7	20	IG	28
5	1	1	IG	0	Unbiased	1.5	IG	-0.5	OG	0.5	IG	9	15	IG	14	14	20	IG	26
5	1	1	OG	0	Unbiased	1.5	IG	-0.5	OG	0.5	IG	6	15	IG	6	6	20	IG	20
6	1	2	IG	0	Unbiased	0.5	IG	0	Unbiased	0.5	IG	12	13	IG	19	19	20	IG	25
6	1	2	OG	0	Unbiased	0.5	IG	0	Unbiased	0.5	IG	1	13	IG	1	1	20	IG	33
7	1	2	IG	-0.5	OG	0.5	IG	-1	OG	0.5	IG	10	13	IG	17	17	20	IG	32
7	1	2	OG	-0.5	OG	0.5	IG	-1	OG	0.5	IG	3	13	IG	3	3	20	IG	22
8	1	2	IG	0	Unbiased	0	Unbiased	0.5	IG	0	Unbiased	9	10	IG	18	18	20	IG	25
8	1	2	OG	0	Unbiased	0	Unbiased	0.5	IG	0	Unbiased	1	10	IG	2	2	20	IG	27
