subject	condition	generation	index	age	sex	group	rabbit	machine	scores	pre	post	chosen	chosenInput	useMachine	output	score	gameTime	surveyTime
	0	0	0	46	Female	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0	-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1	4,3,2,3,3,3,3,2	2,3,2,3,3,2,3,3	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1	-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0	3,1,4,2,5,3,6,9,12,15,18,16,19,17,20,23,26,29,27,30	8,6,5,5,12,22,6,7,5,7,4,5,4,4,5,4,4,4,6,6	15,22
	0	0	1	26	Female	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1	-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1	5,5,2,5,5,5,3,4	5,5,2,5,1,5,1,5	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1	-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1	0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0	0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0	5,10,13,18,23,26,31,36,41,41,46,44,44,44,49,52,57,62,67,72	16,7,13,7,12,6,5,4,4,6,6,6,5,5,6,4,3,4,3,4	24,24
	0	0	2	24	Male	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1	-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1	4,3,5,5,2,3,4,5	4,5,1,3,4,5,2,3	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1	-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1	1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0	1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0	-2,1,1,4,2,5,3,1,1,4,2,0,-2,-4,-1,4,7,5,8,13	4,3,3,3,4,3,5,3,3,3,2,3,3,2,3,3,3,3,3,3	13,10
	0	0	3	25	Female	1	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1	-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1	4,5,5,3,5,1,4,5	3,2,4,4,5,1,5,2	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1	-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1	0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0	0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1	5,10,10,10,15,20,20,20,20,20,20,20,18,18,21,21,21,21,19,19	9,3,3,3,4,4,2,2,3,3,3,2,2,2,4,4,3,3,4,6	17,20
	0	0	4	53	Female	1	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0	-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1	4,4,4,4,3,4,5,4	4,4,5,4,4,4,4,4	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1	-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1	1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1	1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0	-2,1,1,4,7,10,13,16,19,17,20,25,23,21,24,27,30,33,36,39	10,8,4,3,7,3,3,3,3,4,3,2,3,3,3,3,4,3,3,3	11,8
	0	0	5	33	Female	1	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0	-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1;-1,-1,-1,-1,-1,-1	5,4,3,4,3,5,4,5	3,3,5,4,3,4,4,5	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1	-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1	-2,-4,-6,-3,0,-2,1,-1,2,5,3,6,9,7,10,8,11,14,17,15	20,22,15,6,8,10,9,7,5,17,6,4,7,4,5,9,4,13,17,5	22,14
0	0	1	0	25	Male	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1	3,5,-2,5,-2,-2;1,10,1,10,1,-4;4,13,1,10,1,-6;2,18,4,10,4,-3;5,23,2,15,7,0;3,26,5,20,10,-2;6,31,3,20,13,1;9,36,1,20,16,-1;12,41,1,20,19,2;15,41,4,20,17,5;18,46,2,20,20,3;16,44,0,20,25,6;19,44,-2,18,23,9;17,44,-4,18,21,7;20,49,-1,21,24,10;23,52,4,21,27,8;26,57,7,21,30,11;29,62,5,21,33,14;27,67,8,19,36,17;30,72,13,19,39,15	4,3,3,3,3,2,4,3	4,4,3,3,4,2,3,3	1;3;4;5;5;3;3;1;5;2;4;0;4;2;2;2;2;2;3;2	0;0;0;1;1;1;0;1;1;1;1;0;0;0;0;0;0;1;1;0	0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1	0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0	5,3,1,4,2,5,8,6,4,4,2,5,3,1,-1,2,5,8,11,14	25,11,8,12,10,7,7,7,8,6,8,7,6,9,6,7,6,6,6,6	16,12
1	0	1	1	19	Female	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1	3,5,-2,5,-2,-2;1,10,1,10,1,-4;4,13,1,10,1,-6;2,18,4,10,4,-3;5,23,2,15,7,0;3,26,5,20,10,-2;6,31,3,20,13,1;9,36,1,20,16,-1;12,41,1,20,19,2;15,41,4,20,17,5;18,46,2,20,20,3;16,44,0,20,25,6;19,44,-2,18,23,9;17,44,-4,18,21,7;20,49,-1,21,24,10;23,52,4,21,27,8;26,57,7,21,30,11;29,62,5,21,33,14;27,67,8,19,36,17;30,72,13,19,39,15	4,4,4,4,3,3,3,3	5,5,5,5,3,3,3,3	0;2;0;1;1;2;1;2;0;0;1;1;0;0;2;0;2;1;1;1	0;0;1;1;1;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0	5,8,13,18,23,28,33,33,38,43,48,48,53,53,58,63,68,73,78,83	15,10,6,6,14,4,3,3,4,8,3,3,4,4,5,5,4,4,3,8	14,11
2	0	1	2	25	Male	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1	3,5,-2,5,-2,-2;1,10,1,10,1,-4;4,13,1,10,1,-6;2,18,4,10,4,-3;5,23,2,15,7,0;3,26,5,20,10,-2;6,31,3,20,13,1;9,36,1,20,16,-1;12,41,1,20,19,2;15,41,4,20,17,5;18,46,2,20,20,3;16,44,0,20,25,6;19,44,-2,18,23,9;17,44,-4,18,21,7;20,49,-1,21,24,10;23,52,4,21,27,8;26,57,7,21,30,11;29,62,5,21,33,14;27,67,8,19,36,17;30,72,13,19,39,15	3,4,4,5,1,2,2,2	4,4,4,5,2,3,2,1	2;0;1;1;0;2;0;1;1;2;2;1;1;0;0;1;2;1;1;1	1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0	0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1	0,-2,3,8,13,18,23,28,33,36,34,37,35,38,36,39,42,45,48,46	22,18,12,10,113,18,124,32,40,19,14,12,9,26,47,10,12,10,10,13	79,20
3	0	1	3	25	Male	1	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0	3,5,-2,5,-2,-2;1,10,1,10,1,-4;4,13,1,10,1,-6;2,18,4,10,4,-3;5,23,2,15,7,0;3,26,5,20,10,-2;6,31,3,20,13,1;9,36,1,20,16,-1;12,41,1,20,19,2;15,41,4,20,17,5;18,46,2,20,20,3;16,44,0,20,25,6;19,44,-2,18,23,9;17,44,-4,18,21,7;20,49,-1,21,24,10;23,52,4,21,27,8;26,57,7,21,30,11;29,62,5,21,33,14;27,67,8,19,36,17;30,72,13,19,39,15	5,4,5,4,5,4,5,4	5,4,5,5,5,4,5,4	3;3;1;4;5;4;5;5;5;0;4;3;4;3;5;4;4;2;3;5	0;0;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;1;1;1	1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0	3,6,11,9,7,5,3,6,4,7,10,8,11,9,12,15,18,21,24,27	19,18,18,9,16,10,20,11,37,18,16,11,10,9,8,21,9,11,11,18	30,45
