subject	condition	generation	age	sex	group	models	totalSurveyTime	totalGameTime	finalScore	il	preCompIG	preCompOG	preCompDelta	preCompBias	preWarmIG	preWarmOG	preWarmDelta	preWarmBias	postCompIG	postCompOG	postCompDelta	postCompBias	postWarmIG	postWarmOG	postWarmDelta	postWarmBias	compDelta	warmDelta	agreeIG	agreeOG	agreeTotal	agreeBias	agreeMaxIG	agreeMaxOG	obsIG	obsOG	obsTotal	obsBias	hammingIG	hammingOG	hammingDelta
0	0	1	25	Male	0	1	28	168	14	11	3.5	2.5	1	IG	3	3.5	-0.5	OG	4	3	1	IG	3	3	0	Unbiased	0	0.5	5	4	9	IG	10	10	10	10	20	Unbiased	27	27	0
1	0	1	19	Female	0	1	25	116	83	12	4	3	1	IG	4	3	1	IG	5	3	2	IG	5	3	2	IG	1	1	20	0	20	IG	20	0	20	0	20	IG	16	26	-10
2	0	1	25	Male	0	1	99	571	46	9	3.5	1.5	2	IG	4.5	2	2.5	IG	4	2.5	1.5	IG	4.5	1.5	3	IG	-0.5	0.5	16	0	16	IG	20	0	20	0	20	IG	29	29	0
3	0	1	25	Male	1	1	75	300	27	6	4.5	4.5	0	Unbiased	4.5	4.5	0	Unbiased	4.5	4.5	0	Unbiased	5	4.5	0.5	IG	0	0.5	8	2	10	IG	17	3	17	3	20	IG	34	20	14
4	0	1	37	Female	1	1	53	162	65	13	3	3	0	Unbiased	3.5	2.5	1	IG	4	2	2	IG	3	2	1	IG	2	0	11	4	15	IG	13	7	13	7	20	IG	32	28	4
5	0	1	25	Female	1	1	48	256	27	10	3.5	3.5	0	Unbiased	5	3.5	1.5	IG	3	3.5	-0.5	OG	4.5	4	0.5	IG	-0.5	-1	9	6	15	IG	14	6	14	6	20	IG	26	20	6
6	0	2	30	Male	0	1	38	180	68	8	4.5	4.5	0	Unbiased	4.5	4	0.5	IG	4.5	4.5	0	Unbiased	4	3.5	0.5	IG	0	0	12	1	13	IG	19	1	19	1	20	IG	25	33	-8
7	0	2	30	Female	0	1	21	218	9	13	3.5	4	-0.5	OG	3.5	3	0.5	IG	3.5	4.5	-1	OG	3.5	3	0.5	IG	-0.5	0	10	3	13	IG	17	3	17	3	20	IG	32	22	10
8	0	2	46	Female	0	1	24	139	56	7	2.5	2.5	0	Unbiased	3	3	0	Unbiased	3	2.5	0.5	IG	3	3	0	Unbiased	0.5	0	9	1	10	IG	18	2	18	2	20	IG	25	27	-2
9	0	2	44	Female	1	1	112	556	20	11	2.5	4	-1.5	OG	4	4	0	Unbiased	4.5	4	0.5	IG	3.5	3	0.5	IG	2	0.5	12	0	12	IG	20	0	20	0	20	IG	27	25	2
10	0	2	28	Male	1	1	60	366	-3	10	3	2.5	0.5	IG	3	4	-1	OG	3	3.5	-0.5	OG	4	4	0	Unbiased	-1	1	7	5	12	IG	11	9	11	9	20	IG	22	30	-8
11	0	2	34	Female	1	1	81	197	42	8	4.5	3.5	1	IG	4.5	3	1.5	IG	4	3	1	IG	5	3.5	1.5	IG	0	0	8	4	12	IG	13	7	13	7	20	IG	25	23	2
